experiment_name,experiment_id,descriptor_type,pooling_strategy,mean_average_precision,true_map_macro,true_map_micro,true_map_macro_with_zeros,true_map_micro_with_zeros,precision_at_1,precision_at_5,recall_at_1,recall_at_5,processing_time_s
descriptor_processing_sift_keynet_pairs,343,rgbsift_dsp_l2_root_after,none,0.5531111863145546,0.5531111863145546,0.5885519710217145,0.13316331721171323,0.14209429830585907,0.5684071381361533,0.606981914318332,0.5684071381361533,0.606981914318332,28.298
descriptor_processing_sift_keynet_pairs,342,rgbsift_dsp_l2_root_before,none,0.5524887802120665,0.5524887802120665,0.5877839505226864,0.13300765447519605,0.14190887486108755,0.5673256023553446,0.606981914318332,0.5673256023553446,0.606981914318332,28.337
descriptor_processing_sift_keynet_pairs,341,rgbsift_dsp_l2_root_none,none,0.5387702045730925,0.5387702045730925,0.574641823470668,0.1302068548785105,0.13873596675161132,0.5512828216066815,0.5976686895391455,0.5512828216066815,0.5976686895391455,28.351
descriptor_processing_sift_keynet_pairs,334,rgbsift_plain_l1_root_after,none,0.5633143285839076,0.5633143285839076,0.5849312124064944,0.20066519610001954,0.20226307840913332,0.5570751352938709,0.6117380542853547,0.5570751352938709,0.6117380542853547,60.51
descriptor_processing_sift_keynet_pairs,333,rgbsift_plain_l1_root_before,none,0.5428914637606268,0.5428914637606268,0.5663438833765758,0.19452094419359933,0.19583577497711524,0.5357637286571296,0.5961320635986072,0.5357637286571296,0.5961320635986072,58.329
descriptor_processing_sift_keynet_pairs,332,rgbsift_plain_l1_root_none,none,0.5428914637606268,0.5428914637606268,0.5663438833765758,0.19452094419359933,0.19583577497711524,0.5357637286571296,0.5961320635986072,0.5357637286571296,0.5961320635986072,59.51
descriptor_processing_sift_keynet_pairs,337,rgbsift_plain_l2_root_after,none,0.5633143285839076,0.5633143285839076,0.5849312124064944,0.20066519610001954,0.20226307840913332,0.5570751352938709,0.6117380542853547,0.5570751352938709,0.6117380542853547,59.33
descriptor_processing_sift_keynet_pairs,336,rgbsift_plain_l2_root_before,none,0.5428914637606268,0.5428914637606268,0.5663438833765758,0.19452094419359933,0.19583577497711524,0.5357637286571296,0.5961320635986072,0.5357637286571296,0.5961320635986072,58.75
descriptor_processing_sift_keynet_pairs,335,rgbsift_plain_l2_root_none,none,0.5428914637606268,0.5428914637606268,0.5663438833765758,0.19452094419359933,0.19583577497711524,0.5357637286571296,0.5961320635986072,0.5357637286571296,0.5961320635986072,58.414
descriptor_processing_sift_keynet_pairs,322,sift_dsp_color_l1_root_after,none,0.5531111863145546,0.5531111863145546,0.5885519710217145,0.13316331721171323,0.14209429830585907,0.5684071381361533,0.606981914318332,0.5684071381361533,0.606981914318332,28.677
descriptor_processing_sift_keynet_pairs,321,sift_dsp_color_l1_root_before,none,0.5524887802120665,0.5524887802120665,0.5877839505226864,0.13300765447519605,0.14190887486108755,0.5673256023553446,0.606981914318332,0.5673256023553446,0.606981914318332,28.651
descriptor_processing_sift_keynet_pairs,320,sift_dsp_color_l1_root_none,none,0.5387702045730925,0.5387702045730925,0.574641823470668,0.1302068548785105,0.13873596675161132,0.5512828216066815,0.5976686895391455,0.5512828216066815,0.5976686895391455,28.303
descriptor_processing_sift_keynet_pairs,325,sift_dsp_color_l2_root_after,none,0.5531111863145546,0.5531111863145546,0.5885519710217145,0.13316331721171323,0.14209429830585907,0.5684071381361533,0.606981914318332,0.5684071381361533,0.606981914318332,28.474
descriptor_processing_sift_keynet_pairs,324,sift_dsp_color_l2_root_before,none,0.5524887802120665,0.5524887802120665,0.5877839505226864,0.13300765447519605,0.14190887486108755,0.5673256023553446,0.606981914318332,0.5673256023553446,0.606981914318332,29.076
descriptor_processing_sift_keynet_pairs,323,sift_dsp_color_l2_root_none,none,0.5387702045730925,0.5387702045730925,0.574641823470668,0.1302068548785105,0.13873596675161132,0.5512828216066815,0.5976686895391455,0.5512828216066815,0.5976686895391455,28.736
descriptor_processing_sift_keynet_pairs,316,sift_dsp_l1_root_after,none,0.5492961923096845,0.5492961923096845,0.5868047277667778,0.13258913599125535,0.14167246078512344,0.5669650904284084,0.6060205491798354,0.5669650904284084,0.6060205491798354,16.742
descriptor_processing_sift_keynet_pairs,315,sift_dsp_l1_root_before,none,0.5482533170630127,0.5482533170630127,0.5859439798163705,0.13237283127519991,0.14146465012089438,0.5659436399687556,0.6049990987201826,0.5659436399687556,0.6049990987201826,16.931
descriptor_processing_sift_keynet_pairs,314,sift_dsp_l1_root_none,none,0.53350485917361,0.53350485917361,0.5715221600343819,0.12936279850739293,0.13798278536958322,0.5475575316950069,0.5950249354082797,0.5475575316950069,0.5950249354082797,16.891
descriptor_processing_sift_keynet_pairs,319,sift_dsp_l2_root_after,none,0.5492961923096845,0.5492961923096845,0.5868047277667778,0.13258913599125535,0.14167246078512344,0.5669650904284084,0.6060205491798354,0.5669650904284084,0.6060205491798354,16.881
descriptor_processing_sift_keynet_pairs,318,sift_dsp_l2_root_before,none,0.5482533170630127,0.5482533170630127,0.5859439798163705,0.13237283127519991,0.14146465012089438,0.5659436399687556,0.6049990987201826,0.5659436399687556,0.6049990987201826,16.801
descriptor_processing_sift_keynet_pairs,317,sift_dsp_l2_root_none,none,0.53350485917361,0.53350485917361,0.5715221600343819,0.12936279850739293,0.13798278536958322,0.5475575316950069,0.5950249354082797,0.5475575316950069,0.5950249354082797,16.731
descriptor_processing_sift_keynet_pairs,328,sift_dsp_stack_l1_root_after,none,0.41111640635282964,0.41111640635282964,0.4570277971086515,0.10244728194816771,0.1103403732106954,0.4389833563660398,0.4689659316229045,0.4389833563660398,0.4689659316229045,21.47
descriptor_processing_sift_keynet_pairs,327,sift_dsp_stack_l1_root_before,none,0.2590325602285121,0.2590325602285121,0.314524313410998,0.10034409422231239,0.10875920880217538,0.30448462474304655,0.3203423249569996,0.30448462474304655,0.3203423249569996,30.228
descriptor_processing_sift_keynet_pairs,326,sift_dsp_stack_l1_root_none,none,0.28104924739008436,0.28104924739008436,0.3314200525360456,0.10764712115765408,0.11460157818672255,0.3118261526198767,0.3463942610227797,0.3118261526198767,0.3463942610227797,30.02
descriptor_processing_sift_keynet_pairs,331,sift_dsp_stack_l2_root_after,none,0.41111640635282964,0.41111640635282964,0.4570277971086515,0.10244728194816771,0.1103403732106954,0.4389833563660398,0.4689659316229045,0.4389833563660398,0.4689659316229045,21.502
descriptor_processing_sift_keynet_pairs,330,sift_dsp_stack_l2_root_before,none,0.2590325602285121,0.2590325602285121,0.314524313410998,0.10034409422231239,0.10875920880217538,0.30448462474304655,0.3203423249569996,0.30448462474304655,0.3203423249569996,30.827
descriptor_processing_sift_keynet_pairs,329,sift_dsp_stack_l2_root_none,none,0.28104924739008436,0.28104924739008436,0.3314200525360456,0.10764712115765408,0.11460157818672255,0.3118261526198767,0.3463942610227797,0.3118261526198767,0.3463942610227797,31.045
descriptor_processing_sift_keynet_pairs,310,sift_plain_color_l1_root_after,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.699
descriptor_processing_sift_keynet_pairs,309,sift_plain_color_l1_root_before,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.299
descriptor_processing_sift_keynet_pairs,308,sift_plain_color_l1_root_none,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.631
descriptor_processing_sift_keynet_pairs,313,sift_plain_color_l2_root_after,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.068
descriptor_processing_sift_keynet_pairs,312,sift_plain_color_l2_root_before,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.064
descriptor_processing_sift_keynet_pairs,311,sift_plain_color_l2_root_none,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.196
descriptor_processing_sift_keynet_pairs,304,sift_plain_l1_root_after,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.893
descriptor_processing_sift_keynet_pairs,303,sift_plain_l1_root_before,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.7
descriptor_processing_sift_keynet_pairs,302,sift_plain_l1_root_none,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.765
descriptor_processing_sift_keynet_pairs,307,sift_plain_l2_root_after,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.492
descriptor_processing_sift_keynet_pairs,306,sift_plain_l2_root_before,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.686
