experiment_name,descriptor_type,true_map_macro,true_map_micro,precision_at_1,processing_time_s
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l2_root_before,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.822
descriptor_processing_sift_keynet_pairs,vgg_color_plain_l2_root_none,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.795
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l1_root_after,0.5310227554051986,0.5606638131625225,0.5259470570961111,33.069
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l1_root_before,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.975
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l1_root_none,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.868
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l2_root_after,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.771
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l2_root_before,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.921
descriptor_processing_sift_keynet_pairs,vgg_gray_plain_l2_root_none,0.5310227554051986,0.5606638131625225,0.5259470570961111,32.984
descriptor_processing_sift_keynet_pairs,vgg_gray_dsp_l1_root_after,0.5294486361447802,0.5581474730942678,0.5234719134119227,61.427
descriptor_processing_sift_keynet_pairs,vgg_gray_dsp_l2_root_after,0.5294486361447802,0.5581474730942678,0.5234719134119227,61.13
descriptor_processing_sift_keynet_pairs,vgg_color_dsp_l1_root_after,0.5294224635251529,0.5580530518870761,0.5232621554725846,61.527
descriptor_processing_sift_keynet_pairs,vgg_color_dsp_l2_root_after,0.5294224635251529,0.5580530518870761,0.5232621554725846,61.524
descriptor_processing_sift_keynet_pairs,honc_plain_l1_root_after,0.48546883793792267,0.5066952766220114,0.46855728489323323,47.191
descriptor_processing_sift_keynet_pairs,honc_plain_l2_root_after,0.48546883793792267,0.5066952766220114,0.46855728489323323,46.956
descriptor_processing_sift_keynet_pairs,honc_dsp_l1_root_after,0.47565950973884735,0.5045651606158811,0.4722105389653308,20.976
descriptor_processing_sift_keynet_pairs,honc_dsp_l2_root_after,0.47565950973884735,0.5045651606158811,0.4722105389653308,20.77
descriptor_processing_sift_keynet_pairs,honc_plain_l1_root_before,0.4755710658007561,0.49722527274861594,0.4577337752233922,46.821
descriptor_processing_sift_keynet_pairs,honc_plain_l1_root_none,0.4755710658007561,0.49722527274861594,0.4577337752233922,46.486
descriptor_processing_sift_keynet_pairs,honc_plain_l2_root_before,0.4755710658007561,0.49722527274861594,0.4577337752233922,47.094
descriptor_processing_sift_keynet_pairs,honc_plain_l2_root_none,0.4755710658007561,0.49722527274861594,0.4577337752233922,47.04
descriptor_processing_sift_keynet_pairs,honc_dsp_l1_root_before,0.4748343572622762,0.5038516649400587,0.4712491738268341,20.936
descriptor_processing_sift_keynet_pairs,honc_dsp_l2_root_before,0.4748343572622762,0.5038516649400587,0.4712491738268341,20.91
descriptor_processing_sift_keynet_pairs,honc_dsp_l1_root_none,0.46913426697813554,0.49852516149483617,0.46512047106891785,20.846
descriptor_processing_sift_keynet_pairs,honc_dsp_l2_root_none,0.46913426697813554,0.49852516149483617,0.46512047106891785,20.879
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l1_root_after,0.41111640635282964,0.4570277971086515,0.4389833563660398,21.47
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l2_root_after,0.41111640635282964,0.4570277971086515,0.4389833563660398,21.502
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l1_root_none,0.28104924739008436,0.3314200525360456,0.3118261526198767,30.02
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l2_root_none,0.28104924739008436,0.3314200525360456,0.3118261526198767,31.045
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l1_root_before,0.2590325602285121,0.314524313410998,0.30448462474304655,30.228
descriptor_processing_sift_keynet_pairs,sift_dsp_stack_l2_root_before,0.2590325602285121,0.314524313410998,0.30448462474304655,30.827
dsp_aggregation_comparison,dspsift_baseline,0.5724626373354458,0.5956735670536689,0.567143516382095,52.316
dsp_aggregation_comparison,sift_pyramid_dsp_max,0.5499495062527718,0.5752320230351305,0.5445735621093258,51.885
dsp_aggregation_comparison,sift_pyramid_dsp_concat,0.544930302573288,0.5701981747424085,0.5395813231530814,58.472
dsp_aggregation_comparison,sift_pyramid_dsp_average,0.5392392390857476,0.5642261231968801,0.5326593111549273,51.808
dsp_aggregation_comparison,sift_pyramid_dsp_min,0.5081299211215131,0.5345594950879746,0.500314636909007,51.753
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.6040418963916058,0.620316629066399,0.5937827746780215,71.183
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.5893573850860966,0.6078010307572681,0.5791416705122289,71.019
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.5893573850860966,0.6078010307572681,0.5791416705122289,71.064
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,45.954
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,46.007
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,45.86
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,46.767
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,46.068
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,45.994
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,47.165
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,45.476
dsp_color_descriptors_v2,dspsift_v2_baseline,0.5824645563204085,0.6035511767166748,0.5749045601376012,45.451
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.5014496433113838,0.5203898888377316,0.4832822922347611,60.67
dsp_color_descriptors_v2,dsphonc_v2_max,0.4936993303550199,0.5146817809918989,0.4766958929395478,60.623
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.26894680457875714,0.2642869116942607,0.22792297688467508,60.571
dsp_color_descriptors_v2,dsphowh_v2_max,0.2571675616901861,0.2545136920333385,0.21944875613541973,60.388
dsp_color_descriptors_v2,dsphonc_v2_max,0.0,0.0,0.0,0.259
dsp_color_descriptors_v2,dsphonc_v2_max,0.0,0.0,0.0,0.257
dsp_color_descriptors_v2,dsphonc_v2_max,0.0,0.0,0.0,0.26
dsp_color_descriptors_v2,dsphonc_v2_max,0.0,0.0,0.0,0.26
dsp_color_descriptors_v2,dsphonc_v2_max,0.0,0.0,0.0,0.266
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.0,0.0,0.0,0.262
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.0,0.0,0.0,0.261
